VCE;IC_140uA;IC_70uA;ErrVCE;ErrIC_140;ErrIC_70;Fondoscala
0,05;0,89;0,41;0,00254951;0,0389;0,0341;0,02
0,1;4,15;2,51;0,003640055;0,0715;0,0551;0,02
0,2;13,85;8,3;0,007826238;0,1685;0,113;0,05
0,3;17,1;9,26;0,010307764;0,201;0,1226;0,05
0,4;18,04;9,4;0,013009612;0,2104;0,124;0,05
0,5;18,38;9,46;0,015819292;0,2138;0,1246;0,05
0,6;18,6;9,53;0,02059733;0,216;0,1253;0,1
0,68;18,74;9,57;0,022724656;0,2174;0,1257;0,1
0,76;19;9,61;0,024901606;0,22;0,1261;0,1
0,84;19,15;9,65;0,027116231;0,2215;0,1265;0,1
0,92;19,25;9,68;0,029360007;0,2225;0,1268;0,1
1;19,35;9,73;0,036058979;0,2235;0,1273;0,2
1,2;19,72;9,81;0,041185556;0,2272;0,1281;0,2
1,4;19,92;9,9;0,0465215;0,2292;0,129;0,2
1,6;20,14;9,98;0,052002404;0,2314;0,1298;0,2
1,8;20,32;10,07;0,057586891;0,2332;0,1307;0,2
2;20,4;10,15;0,06324753;0,234;0,1315;0,2
2,2;20,7;10,25;0,068965571;0,237;0,1325;0,2
2,4;20,97;10,36;0,07472784;0,2397;0,1336;0,2
2,6;21,18;10,46;0,080524841;0,2418;0,1346;0,2
2,8;21,42;10,54;0,08634958;0,2442;0,1354;0,2
3;21,6;10,61;0,102957516;0,246;0,1361;0,5
3,2;21,9;10,7;0,108241628;0,249;0,137;0,5
3,5;22,14;10,79;0,116298108;0,2514;0,1379;0,5
3,8;22,39;10,87;0,124483935;0,2539;0,1387;0,5
4;22,2;10,91;0,156205794;0,252;0,1391;1
